zipcode,state,income,cbsa_income,state_income,latitude,longitude
44660,OH,123068,null,79470,40.62,-81.78
44661,OH,51563,null,79470,40.6,-82.11
44662,OH,79448,77156,79470,40.72,-81.52
44663,OH,65845,69953,79470,40.48,-81.44
44665,OH,1000000,69266,79470,40.83,-80.98
44666,OH,93906,77156,79470,40.84,-81.63
44667,OH,77017,77156,79470,40.84,-81.77
44669,OH,86250,73886,79470,40.8,-81.15
44670,OH,0,73886,79470,40.76,-81.19
44671,OH,1000000,69953,79470,40.65,-81.37
44672,OH,55938,67467,79470,40.92,-81.02
44675,OH,73713,73886,79470,40.49,-81.24
44676,OH,82885,77156,79470,40.68,-82.02
44677,OH,66983,77156,79470,40.86,-81.85
44678,OH,103708,69953,79470,40.57,-81.35
44679,OH,1000000,69953,79470,40.32,-81.32
44680,OH,79120,73886,79470,40.59,-81.52
44681,OH,85685,69953,79470,40.5,-81.64
44682,OH,83659,69953,79470,40.4,-81.41
44683,OH,61832,69953,79470,40.4,-81.35
44685,OH,102244,82433,79470,40.97,-81.4
44687,OH,63205,null,79470,40.54,-81.72
44688,OH,57885,73886,79470,40.66,-81.25
44689,OH,57386,73886,79470,40.65,-81.66
44690,OH,1000000,null,79470,40.61,-81.69
44691,OH,75647,77156,79470,40.81,-81.93
44693,OH,0,null,79470,40.3,-81.18
44695,OH,60375,73886,79470,40.42,-81.18
44697,OH,101023,69953,79470,40.61,-81.42
44699,OH,52946,69953,79470,40.27,-81.28
44701,OH,1000000,null,79470,40.81,-81.37
44702,OH,22727,73886,79470,40.8,-81.38
44703,OH,34855,73886,79470,40.81,-81.38
44704,OH,37734,73886,79470,40.8,-81.34
44705,OH,43640,73886,79470,40.83,-81.33
44706,OH,64179,73886,79470,40.75,-81.42
44707,OH,44167,73886,79470,40.76,-81.35
44708,OH,72953,73886,79470,40.82,-81.44
44709,OH,69282,73886,79470,40.84,-81.39
44710,OH,51886,73886,79470,40.79,-81.43
44711,OH,1000000,73886,79470,40.81,-81.37
44714,OH,66721,73886,79470,40.81,-81.37
44718,OH,104590,73886,79470,40.85,-81.45
44720,OH,96075,82433,79470,40.9,-81.43
44721,OH,91922,73886,79470,40.89,-81.33
44730,OH,65894,73886,79470,40.77,-81.27
